Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Philadelphia 76ers,106,Atlanta Hawks,127,H
Miami Heat,104,Brooklyn Nets,98,V
Memphis Grizzlies,85,Chicago Bulls,98,H
Boston Celtics,116,Detroit Pistons,119,H
Phoenix Suns,103,Golden State Warriors,128,H
Dallas Mavericks,81,Indiana Pacers,107,H
Milwaukee Bucks,90,Los Angeles Clippers,103,H
Minnesota Timberwolves,102,New York Knicks,107,H
Portland Trail Blazers,90,Oklahoma City Thunder,106,H
Charlotte Hornets,98,Orlando Magic,113,H
Washington Wizards,95,San Antonio Spurs,114,H
New Orleans Pelicans,104,Utah Jazz,94,V
Toronto Raptors,99,Charlotte Hornets,109,H
Oklahoma City Thunder,100,Cleveland Cavaliers,104,H
Houston Rockets,107,Los Angeles Lakers,87,V
Atlanta Hawks,109,Boston Celtics,101,V
Detroit Pistons,147,Chicago Bulls,144,V
Memphis Grizzlies,88,Dallas Mavericks,97,H
Milwaukee Bucks,112,Golden State Warriors,121,H
Brooklyn Nets,97,Indiana Pacers,104,H
Toronto Raptors,108,Miami Heat,94,V
Sacramento Kings,95,Minnesota Timberwolves,99,H
Portland Trail Blazers,94,Orlando Magic,102,H
New York Knicks,107,Philadelphia 76ers,97,V
New Orleans Pelicans,88,Phoenix Suns,104,H
Los Angeles Clippers,107,San Antonio Spurs,115,H
Denver Nuggets,88,Utah Jazz,97,H
Los Angeles Clippers,97,Houston Rockets,107,H
Indiana Pacers,84,Memphis Grizzlies,96,H
Chicago Bulls,91,New York Knicks,107,H
Los Angeles Lakers,78,Oklahoma City Thunder,118,H
Charlotte Hornets,101,Washington Wizards,109,H
Minnesota Timberwolves,100,Brooklyn Nets,85,V
Philadelphia 76ers,86,Cleveland Cavaliers,108,H
New Orleans Pelicans,130,Denver Nuggets,125,V
Portland Trail Blazers,109,Miami Heat,116,H
Atlanta Hawks,103,Orlando Magic,100,V
Milwaukee Bucks,101,Phoenix Suns,95,V
Sacramento Kings,104,Toronto Raptors,94,V
Portland Trail Blazers,97,Atlanta Hawks,106,H
Minnesota Timberwolves,99,Boston Celtics,113,H
Brooklyn Nets,105,Chicago Bulls,102,V
Charlotte Hornets,95,Houston Rockets,102,H
Oklahoma City Thunder,100,Los Angeles Clippers,99,V
Orlando Magic,107,New York Knicks,99,V
Indiana Pacers,92,San Antonio Spurs,106,H
Phoenix Suns,89,Utah Jazz,110,H
Sacramento Kings,99,Washington Wizards,113,H
Los Angeles Lakers,111,Denver Nuggets,107,V
Detroit Pistons,93,Miami Heat,92,V
