Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Miami Heat,97,Detroit Pistons,96,V
Golden State Warriors,113,Houston Rockets,106,V
Minnesota Timberwolves,115,Indiana Pacers,114,V
Washington Wizards,119,Los Angeles Lakers,108,V
Denver Nuggets,113,Portland Trail Blazers,122,H
Milwaukee Bucks,103,Boston Celtics,100,V
Washington Wizards,124,Los Angeles Clippers,133,H
Indiana Pacers,97,Memphis Grizzlies,110,H
Dallas Mavericks,118,New Orleans Pelicans,121,H
Miami Heat,105,New York Knicks,88,V
Oklahoma City Thunder,114,Orlando Magic,106,V
Atlanta Hawks,99,Philadelphia 76ers,92,V
Utah Jazz,112,Sacramento Kings,82,V
Golden State Warriors,110,San Antonio Spurs,98,V
Charlotte Hornets,110,Toronto Raptors,106,V
Cleveland Cavaliers,93,Chicago Bulls,99,H
Brooklyn Nets,89,Detroit Pistons,90,H
Los Angeles Lakers,104,Minnesota Timberwolves,119,H
Los Angeles Clippers,124,Phoenix Suns,118,V
Houston Rockets,107,Portland Trail Blazers,117,H
Orlando Magic,116,Boston Celtics,117,H
Denver Nuggets,114,Charlotte Hornets,122,H
Philadelphia 76ers,105,Cleveland Cavaliers,122,H
Houston Rockets,98,Golden State Warriors,107,H
Dallas Mavericks,90,Memphis Grizzlies,99,H
New York Knicks,98,Miami Heat,94,V
Detroit Pistons,105,Milwaukee Bucks,108,H
Sacramento Kings,89,New Orleans Pelicans,117,H
San Antonio Spurs,100,Oklahoma City Thunder,95,V
Indiana Pacers,100,Toronto Raptors,111,H
Washington Wizards,88,Utah Jazz,95,H
Orlando Magic,111,Brooklyn Nets,121,H
Atlanta Hawks,104,Chicago Bulls,106,H
Los Angeles Lakers,104,Los Angeles Clippers,115,H
Sacramento Kings,123,Minnesota Timberwolves,117,V
Phoenix Suns,117,Portland Trail Blazers,130,H
Atlanta Hawks,82,Brooklyn Nets,91,H
Indiana Pacers,130,Cleveland Cavaliers,135,H
Washington Wizards,115,Golden State Warriors,139,H
Memphis Grizzlies,103,Los Angeles Lakers,108,H
Denver Nuggets,116,Miami Heat,113,V
Dallas Mavericks,109,Milwaukee Bucks,105,V
Chicago Bulls,117,New Orleans Pelicans,110,V
Boston Celtics,110,New York Knicks,94,V
Charlotte Hornets,113,Oklahoma City Thunder,101,V
Houston Rockets,123,Phoenix Suns,116,V
Utah Jazz,103,San Antonio Spurs,109,H
Philadelphia 76ers,105,Toronto Raptors,113,H
Portland Trail Blazers,109,Minnesota Timberwolves,110,H
Orlando Magic,102,Cleveland Cavaliers,122,H
Minnesota Timberwolves,107,Golden State Warriors,121,H
Toronto Raptors,90,Indiana Pacers,108,H
Denver Nuggets,134,New Orleans Pelicans,131,V
Chicago Bulls,91,New York Knicks,100,H
Milwaukee Bucks,79,Oklahoma City Thunder,110,H
Brooklyn Nets,141,Philadelphia 76ers,118,V
Dallas Mavericks,87,Sacramento Kings,98,H
Memphis Grizzlies,89,San Antonio Spurs,95,H
Portland Trail Blazers,87,Utah Jazz,106,H
Charlotte Hornets,111,Washington Wizards,118,H
Cleveland Cavaliers,114,Boston Celtics,91,V
Miami Heat,112,Charlotte Hornets,99,V
Toronto Raptors,105,Detroit Pistons,102,V
Denver Nuggets,104,Houston Rockets,110,H
Dallas Mavericks,101,Los Angeles Clippers,112,H
Oklahoma City Thunder,103,Memphis Grizzlies,100,V
Golden State Warriors,120,Phoenix Suns,111,V
Los Angeles Lakers,102,San Antonio Spurs,95,V
Boston Celtics,116,Atlanta Hawks,123,H
Milwaukee Bucks,89,Indiana Pacers,104,H
Washington Wizards,106,New York Knicks,103,V
Brooklyn Nets,107,Orlando Magic,115,H
Chicago Bulls,102,Philadelphia 76ers,90,V
Minnesota Timberwolves,98,Portland Trail Blazers,105,H
Atlanta Hawks,114,Cleveland Cavaliers,100,V
San Antonio Spurs,102,Dallas Mavericks,89,V
New Orleans Pelicans,106,Denver Nuggets,122,H
Detroit Pistons,114,Houston Rockets,109,V
Sacramento Kings,94,Los Angeles Lakers,98,H
New York Knicks,88,Memphis Grizzlies,101,H
Oklahoma City Thunder,99,Phoenix Suns,120,H
Miami Heat,94,Toronto Raptors,96,H
Minnesota Timberwolves,113,Utah Jazz,120,H
Chicago Bulls,106,Brooklyn Nets,107,H
Boston Celtics,121,Charlotte Hornets,114,V
New Orleans Pelicans,101,Golden State Warriors,123,H
Indiana Pacers,127,Orlando Magic,112,V
Milwaukee Bucks,90,Philadelphia 76ers,82,V
Utah Jazz,86,Portland Trail Blazers,101,H
Los Angeles Clippers,98,San Antonio Spurs,87,V
Miami Heat,106,Washington Wizards,103,V
Cleveland Cavaliers,125,Atlanta Hawks,126,H
Oklahoma City Thunder,106,Denver Nuggets,105,V
Minnesota Timberwolves,109,Los Angeles Lakers,110,H
Detroit Pistons,103,Memphis Grizzlies,90,V
Toronto Raptors,110,New York Knicks,97,V
Dallas Mavericks,111,Phoenix Suns,124,H
Houston Rockets,135,Sacramento Kings,128,V
Brooklyn Nets,105,Boston Celtics,114,H
Orlando Magic,75,Chicago Bulls,122,H
Washington Wizards,105,Detroit Pistons,101,V
Utah Jazz,105,Golden State Warriors,99,V
Houston Rockets,96,Los Angeles Clippers,125,H
Cleveland Cavaliers,121,Miami Heat,124,H
Charlotte Hornets,79,Milwaukee Bucks,89,H
Indiana Pacers,120,Philadelphia 76ers,111,V
San Antonio Spurs,98,Portland Trail Blazers,99,H
Charlotte Hornets,76,Atlanta Hawks,103,H
Denver Nuggets,109,Dallas Mavericks,91,V
New Orleans Pelicans,96,Los Angeles Lakers,108,H
Oklahoma City Thunder,100,Minnesota Timberwolves,98,V
Phoenix Suns,104,Sacramento Kings,129,H
Milwaukee Bucks,94,Boston Celtics,112,H
Brooklyn Nets,73,Chicago Bulls,112,H
Toronto Raptors,98,Cleveland Cavaliers,83,V
Los Angeles Lakers,94,Golden State Warriors,109,H
Minnesota Timberwolves,118,Houston Rockets,123,H
Atlanta Hawks,86,Indiana Pacers,104,H
Sacramento Kings,95,Los Angeles Clippers,115,H
Dallas Mavericks,100,Memphis Grizzlies,93,V
Washington Wizards,102,Miami Heat,110,H
Philadelphia 76ers,113,New York Knicks,114,H
Denver Nuggets,111,Oklahoma City Thunder,105,V
Detroit Pistons,109,Orlando Magic,113,H
New Orleans Pelicans,103,Portland Trail Blazers,100,V
San Antonio Spurs,97,Utah Jazz,101,H
